爱,to love; affection; to be fond of; to like,ai4
八,eight; 8,ba1
爸爸,"(informal) father; CL:個|个[ge4],位[wei4]",ba4 ba5
杯子,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",bei1 zi5
北京,"Beijing, capital of People's Republic of China; Peking; PRC government",Bei3 jing1
本,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",ben3
不,(negative prefix); not; no,bu4
不客气,you're welcome; impolite; rude; blunt; don't mention it,bu4 ke4 qi5
菜,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",cai4
茶,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",cha2
吃,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,chi1
出租车,taxi,chu1 zu1 che1
打电话,to make a telephone call,da3 dian4 hua4
大,big; huge; large; major; great; wide; deep; oldest; eldest,da4
的,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",de5
点,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,dian3
电脑,computer; CL:臺|台[tai2],dian4 nao3
电视,"television; TV; CL:臺|台[tai2],個|个[ge4]",dian4 shi4
电影,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",dian4 ying3
东西,"thing; stuff; person; CL:個|个[ge4],件[jian4]",dong1 xi5
都,"all, both; entirely (due to) each; even; already",dou1
读,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",du2
对不起,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),dui4 bu5 qi3
多,many; much; a lot of; numerous; multi-,duo1
多少,number; amount; somewhat,duo1 shao3
儿子,son,er2 zi5
二,two; 2; stupid (Beijing dialect),er4
饭馆,restaurant; CL:家[jia1],fan4 guan3
飞机,airplane; CL: 架[jia4],fei1 ji1
分钟,minute,fen1 zhong1
高兴,happy; glad; willing (to do sth); in a cheerful mood,gao1 xing4
个,individual; this; that; size; classifier for people or objects in general,ge4
工作,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",gong1 zuo4
狗,"dog; CL:隻|只[zhi1],條|条[tiao2]",gou3
汉语,Chinese language; CL:門|门[men2],Han4 yu3
好,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),hao3
喝,to drink; to shout (a command); My goodness!,he1
和,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,he2
很,(adverb of degree); quite; very; awfully,hen3
后面,rear; back; behind; later; afterwards,hou4 mian5
回,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),hui2
会,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),hui4
火车站,train station,huo3 che1 zhan4
几,how much; how many; several; a few,ji3
家,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]",jia1
叫,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),jiao4
今天,today; at the present; now,jin1 tian1
九,nine; 9,jiu3
开,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,kai1
看,to look after; to take care of; to watch; to guard,kan1
看见,to see; to catch sight of,kan4 jian4
块,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",kuai4
来,to come; to arrive; to come round; ever since; next,lai2
老师,"teacher; CL:個|个[ge4],位[wei4]",lao3 shi1
了,(modal particle intensifying preceding clause); (completed action marker),le5
冷,cold,leng3
里,lining; interior; inside; internal; also written 裡|里 [li3],li3
零,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,ling2
六,six; 6,liu4
妈妈,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",ma1 ma5
吗,(question tag),ma5
买,to buy; to purchase,mai3
猫,cat; CL:隻|只[zhi1],mao1
没,(negative prefix for verbs); have not; not,mei2
没关系,it doesn't matter,mei2 guan1 xi5
米饭,(cooked) rice,mi3 fan4
明天,tomorrow,ming2 tian1
名字,name (of a person or thing); CL:個|个[ge4],ming2 zi5
哪,how; which,na3
哪儿,where?; wherever; anywhere,na3 r5
那,"that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing",na4
那儿,there,na4 r5
呢,(question particle for subjects already mentioned),ne5
能,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,neng2
你,"you (informal, as opposed to polite 您[nin2])",ni3
年,year; CL:個|个[ge4],nian2
女儿,daughter,nv3 er2
朋友,"friend; CL:個|个[ge4],位[wei4]",peng2 you5
漂亮,pretty; beautiful,piao4 liang5
苹果,"apple; CL:個|个[ge4],顆|颗[ke1]",ping2 guo3
七,seven; 7,qi1
钱,coin; money; CL:筆|笔[bi3],qian2
前面,ahead; in front; preceding; above,qian2 mian4
请,to ask; to invite; please (do sth); to treat (to a meal etc); to request,qing3
去,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,qu4
热,heat; to heat up; fervent; hot (of weather); warm up,re4
人,"man; person; people; CL:個|个[ge4],位[wei4]",ren2
认识,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,ren4 shi5
日,"sun; day; date, day of the month; abbr. for 日本|日本 Japan",ri4
三,three; 3,san1
商店,"store; shop; CL:家[jia1],個|个[ge4]",shang1 dian4
上,on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university),shang4
上午,morning; CL:個|个[ge4],shang4 wu3
少,few; little; lack,shao3
谁,who; also pronounced shui2,shei2
什么,what?; who?; something; anything,shen2 me5
十,ten; 10,shi2
时候,time; length of time; moment; period,shi2 hou5
是,is; are; am; yes; to be,shi4
书,"book; letter; CL:本[ben3],冊|册[ce4],部[bu4]; see also 書經|书经 Book of History",shu1
水,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,shui3
水果,fruit; CL:個|个[ge4],shui3 guo3
睡觉,to go to bed; to go to sleep,shui4 jiao4
说话,to speak; to say; to talk; to gossip; to tell stories; talk; word,shuo1 hua4
四,four; 4,si4
岁,classifier for years (of age); year; year (of crop harvests),sui4
他,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,ta1
她,she,ta1
太,highest; greatest; too (much); very; extremely,tai4
天气,weather,tian1 qi4
听,"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages",ting1
同学,"(fellow) classmate; CL:位[wei4],個|个[ge4]",tong2 xue2
喂,"hello (interj., esp. on telephone); hey; to feed (sb or some animal)",wei4
我,I; me; my,wo3
我们,we; us; ourselves; our,wo3 men5
五,five; 5,wu3
喜欢,to like; to be fond of,xi3 huan5
下,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,xia4
下午,afternoon; p.m.; CL:個|个[ge4],xia4 wu3
下雨,to rain; rainy,xia4 yu3
先生,"teacher; Mister (Mr.); husband; doctor (topolect); CL:個|个[ge4],位[wei4]",xian1 sheng5
现在,now; at present; at the moment; modern; current; nowadays,xian4 zai4
想,to think; to believe; to suppose; to wish; to want; to miss,xiang3
小,small; tiny; few; young,xiao3
小姐,"young lady; miss; CL:個|个[ge4],位[wei4]",xiao3 jie5
些,some; few; several; (a measure word),xie1
写,to write,xie3
谢谢,to thank; thanks,xie4 xie5
星期,week; CL:個|个[ge4],xing1 qi1
学生,student; school child,xue2 sheng5
学习,to learn; to study,xue2 xi2
学校,school; CL:所[suo3],xue2 xiao4
一,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)",yi1
衣服,"clothes; CL:件[jian4],套[tao4]",yi1 fu5
医生,"doctor; CL:個|个[ge4],位[wei4],名[ming2]",yi1 sheng1
医院,"hospital; CL:所[suo3],家[jia1],座[zuo4]",yi1 yuan4
椅子,"chair; CL:把[ba3],套[tao4]",yi3 zi5
有,to have; there is; there are; to exist; to be,you3
月,"moon; month; CL:個|个[ge4],輪|轮[lun2]",yue4
在,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),zai4
再见,goodbye; see you again later,zai4 jian4
怎么,how?; what?; why?,zen3 me5
怎么样,how?; how about?; how was it?; how are things?,zen3 me5 yang4
这,"this; these; (commonly pr. zhei4 before a classifier, esp. in Beijing)",zhe4
这儿,here,zhe4 r5
中国,China; Middle Kingdom,Zhong1 guo2
中午,noon; midday; CL:個|个[ge4],zhong1 wu3
住,to live; to dwell; to stay; to reside; to stop,zhu4
桌子,"table; desk; CL:張|张[zhang1],套[tao4]",zhuo1 zi5
字,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,zi4
昨天,yesterday,zuo2 tian1
做,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,zuo4
坐,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; surname Zuo",zuo4
